Rating,NumberofPlayers,Company
743,6949,AEG
724,6944,AEG
752,5370,AEG
735,3468,AEG
730,2368,AEG
736,10175,Blue Orange
719,4049,Blue Orange
680,2575,Blue Orange
724,1951,Blue Orange
710,840,Blue Orange
750,5376,CMON
801,4690,CMON
793,3324,CMON
759,1500,CMON
771,1498,CMON
742,9713,Hans im Gluck
759,5011,Hans im Gluck
792,4016,Hans im Gluck
752,2965,Hans im Gluck
709,2546,Hans im Gluck
717,6108,Kosmos
717,4254,Kosmos
722,3005,Kosmos
762,2876,Kosmos
713,1566,Kosmos
768,8657,Lookout Games
736,4680,Lookout Games
745,4504,Lookout Games
797,3906,Lookout Games
804,3390,Lookout Games
811,19623,Stonemaier Games
826,11652,Stonemaier Games
811,6896,Stonemaier Games
752,6874,Stonemaier Games
751,2812,Stonemaier Games
